alpha_deg,method,CL,CD_total,CD_pressure,CD_viscous,shock_upper_deg,shock_lower_deg
0,SU2_Euler,0.000000,0.028083,0.028083,0,25.552,25.552
0,SU2_laminar,0.001411,0.023934,0.019180,0.004755,,
0,SU2_SST,0.000156,0.025260,0.020198,0.005062,,
4,SU2_Euler,0.104436,0.035902,0.035902,0,22.864,29.130
4,SU2_laminar,0.082820,0.030231,0.024905,0.005326,,
4,SU2_SST,0.084907,0.032106,0.026488,0.005617,,
8,SU2_Euler,0.209245,0.059669,0.059669,0,,33.187
8,SU2_laminar,0.167716,0.052954,0.042793,0.010161,,
8,SU2_SST,0.169830,0.054872,0.044410,0.010462,,

